Col,Row,Year,Race,Gender,Ethnicity,AgeRange,Population
46151,1,2010,ALL,ALL,ALL,EIGHTEEN,449
46151,1,2010,ALL,ALL,ALL,19TO64,18706
46151,1,2010,ALL,ALL,ALL,65TO69,1517
46151,1,2010,ALL,ALL,ALL,70TO74,1039
46151,1,2010,ALL,ALL,ALL,75UP,1659
46157,1,2010,ALL,ALL,ALL,INFANT,47
46157,1,2010,ALL,ALL,ALL,1TO4,202
46157,1,2010,ALL,ALL,ALL,FIVE,54
46157,1,2010,ALL,ALL,ALL,6TO12,374
46157,1,2010,ALL,ALL,ALL,13TO17,252
46157,1,2010,ALL,ALL,ALL,EIGHTEEN,46
46157,1,2010,ALL,ALL,ALL,19TO64,2285
46157,1,2010,ALL,ALL,ALL,65TO69,136
46157,1,2010,ALL,ALL,ALL,70TO74,106
46157,1,2010,ALL,ALL,ALL,75UP,137
46158,1,2010,ALL,ALL,ALL,INFANT,272
46158,1,2010,ALL,ALL,ALL,1TO4,1216
46158,1,2010,ALL,ALL,ALL,FIVE,316
46158,1,2010,ALL,ALL,ALL,6TO12,2271
46158,1,2010,ALL,ALL,ALL,13TO17,1808
46158,1,2010,ALL,ALL,ALL,EIGHTEEN,322
46158,1,2010,ALL,ALL,ALL,19TO64,14067
46158,1,2010,ALL,ALL,ALL,65TO69,1003
46158,1,2010,ALL,ALL,ALL,70TO74,756
46158,1,2010,ALL,ALL,ALL,75UP,1344
46160,1,2010,ALL,ALL,ALL,INFANT,56
46160,1,2010,ALL,ALL,ALL,1TO4,300
46160,1,2010,ALL,ALL,ALL,FIVE,60
46160,1,2010,ALL,ALL,ALL,6TO12,588
46160,1,2010,ALL,ALL,ALL,13TO17,493
46160,1,2010,ALL,ALL,ALL,EIGHTEEN,85
46160,1,2010,ALL,ALL,ALL,19TO64,3910
46160,1,2010,ALL,ALL,ALL,65TO69,341
46160,1,2010,ALL,ALL,ALL,70TO74,251
46160,1,2010,ALL,ALL,ALL,75UP,337
46161,1,2010,ALL,ALL,ALL,INFANT,36
